Fixed on A drive,B drive,New mooring name,Mooring site,Old B drive name,Old wave name ,New wave name ,# files,size GB
,B09,BF07_AU_BF05,BF05,BF07_AU_06,AU-BF06-YYMMDD-HHMMSS,AU-BFBF05-YYMMDD-HHMMSS,10532,73.5
,B09,BF08_AU_BF04-01,BF04u,BF08_AU_05,AU-BF05-YYMMDD-HHMMSS,AU-BFBF04_01-YYMMDD-HHMMSS,3144,25.9
,B11,BF08_AU_BF04-02,BF04,BF08_AU_06,AU-BF06-YYMMDD-HHMMSS,AU-BFBF04_02-YYMMDD-HHMMSS,17003,140
,B03,BF08_EA_MA01-01,MA01,BF08_EA_M01a,EA-BFM01a-YYMMDD-HHMMSS,EA-BFMA01_01-YYMMDD-HHMMSS,1452,64.9
,B03,BF08_EA_MA02-01,MA02,BF08_EA_M01b,EA-BFM01b-YYMMDD-HHMMSS,EA-BFMA02_01-YYMMDD-HHMMSS,798,35.6
,B03,BF08_EA_MA02-02,MA02,BF08_EA_M02b,EA-BFM02b-YYMMDD-HHMMSS,EA-BFMA02_02-YYMMDD-HHMMSS,798,35.6
,B03,BF08_EA_MA02-03,MA02,BF08_EA_M03b,EA-BFM03b-YYMMDD-HHMMSS,EA-BFMA02_03-YYMMDD-HHMMSS,798,35.6
,B13,BF08_EA_OK01,OK01,BF08_EA_O01,EA-BFO01-YYMMDD-HHMMSS,EA-BFOK01-YYMMDD-HHMMSS,3381,40.4
,B13,BF09_AU_BF01,BF01,BF09_AU_01,AU-BF01-YYMMDD-HHMMSS,AU-BFBF01-YYMMDD-HHMMSS,16079,132
,B13,BF09_AU_BF04-01,BF04,BF09_AU_05,AU-BF05-YYMMDD-HHMMSS,AU-BFBF04_01-YYMMDD-HHMMSS,26334,216
,B13,BF09_AU_BF04-02,BF04u,BF09_AU_06,AU-BF06-YYMMDD-HHMMSS,AU-BFBF04_02-YYMMDD-HHMMSS,17787,146
,B03,BF09_EA_MA03-01,MA03,BF09_EA_M01a,EA-BFM01a-YYMMDD-HHMMSS,EA-BFMA03_01-YYMMDD-HHMMSS,1368,61.1
,B03,BF09_EA_MA04-01,MA04,BF09_EA_M01b,EA-BFM01a-YYMMDD-HHMMSS,EA-BFMA04_01-YYMMDD-HHMMSS,2766,123
,B03,BF09_EA_MA03-02,MA03,BF09_EA_M02a,EA-BFM02a-YYMMDD-HHMMSS,EA-BFMA03_02-YYMMDD-HHMMSS,1365,61
,B03,BF09_EA_MA04-02,MA04,BF09_EA_M02b,EA-BFM02b-YYMMDD-HHMMSS,EA-BFMA04_02-YYMMDD-HHMMSS,2697,120
,B03,BF09_EA_MA03-03,MA03,BF09_EA_M03a,EA-BFM03a-YYMMDD-HHMMSS,EA-BFMA03_03-YYMMDD-HHMMSS,1365,61
,B03,BF09_EA_MA03-04,MA03,BF09_EA_M04a,EA-BFM04a-YYMMDD-HHMMSS,EA-BFMA03_04-YYMMDD-HHMMSS,1365,61
,B13,BF09_EA_OK01,OK01,BF09_EA_O01,EA-BFO01-YYMMDD-HHMMSS,EA-BFOK01-YYMMDD-HHMMSS,3871,46.3
,B04,BF10_AU_BF01,BF01,BF10_AU_01,AU-BF01-YYMMDD-HHMMSS,AU-BFBF01-YYMMDD-HHMMSS,24292,200
,B04,BF10_AU_BF03,BF02,BF10_AU_03,AU-BF03-YYMMDD-HHMMSS,AU-BFBF03-YYMMDD-HHMMSS,24252,199
,B04,BF10_AU_BF02,BF03,BF10_AU_BF2,AU-BF02-YYMMDD-HHMMSS,AU-BFBF02-YYMMDD-HHMMSS,12960,106
,B03,BF10_EA_MA05-01,MA05,BF10_EA_M01a,EA-BFM01a-YYMMDD-HHMMSS,EA-BFMA05_01-YYMMDD-HHMMSS,1704,76.1
,B03,BF10_EA_MA05-02,MA05,BF10_EA_M02a,EA-BFM02a-YYMMDD-HHMMSS,EA-BFMA05_02-YYMMDD-HHMMSS,1704,76.1
,B03,BF10_EA_MA06-01,MA06,BF10_EA_M02b,EA-BFM02b-YYMMDD-HHMMSS,EA-BFMA06_01-YYMMDD-HHMMSS,441,19.7
,B03,BF10_EA_MA07-01,MA07,BF10_EA_M02c,EA-BFM02c-YYMMDD-HHMMSS,EA-BFMA07_01-YYMMDD-HHMMSS,663,29.6
,B03,BF10_EA_MA05-03,MA05,BF10_EA_M03a,EA-BFM03a-YYMMDD-HHMMSS,EA-BFMA05_03-YYMMDD-HHMMSS,1701,76
,B13,BF10_EA_OK01,OK01,BF10_EA_O01,EA-BFO01-YYMMDD-HHMMSS,EA-BFOK01-YYMMDD-HHMMSS,1371,16.4
,B06,BF11_AU_BF01,BF01,BF11_AU_01,AU-BF01-YYMMDD-HHMMSS,AU-BFBF01-YYMMDD-HHMMSS,24042,132
,B06,BF11_AU_BF02,BF02,BF11_AU_02,AU-BF02-YYMMDD-HHMMSS,AU-BFBF02-YYMMDD-HHMMSS,23928,131
,B06,BF11_AU_BF03,BF03,BF11_AU_03,AU-BF03-YYMMDD-HHMMSS,AU-BFBF03-YYMMDD-HHMMSS,23172,127
,B05,BF11_EA_MA08-01,MA08,BF11_EA_M01a,EA-BFM01a-YYMMDD-HHMMSS,EA-BFMA08_01-YYMMDD-HHMMSS,1572,70.2
,B05,BF11_EA_MA09-01,MA09,BF11_EA_M01b,EA-BFM01b-YYMMDD-HHMMSS,EA-BFMA09_01-YYMMDD-HHMMSS,1113,49.7
,B05,BF11_EA_MA08-02,MA08,BF11_EA_M02a,EA-BFM02a-YYMMDD-HHMMSS,EA-BFMA08_02-YYMMDD-HHMMSS,1572,70.2
,B04,BF11_EA_MA09-02,MA09,BF11_EA_M02b,EA-BFM02b-YYMMDD-HHMMSS,EA-BFMA09_02-YYMMDD-HHMMSS,933,41.7
,B05,BF11_EA_MA08-03,MA08,BF11_EA_M03a,EA-BFM03a-YYMMDD-HHMMSS,EA-BFMA08_03-YYMMDD-HHMMSS,1566,70
,B05,BF11_EA_OK01,OK01,BF11_EA_O01,EA-BFO01-YYMMDD-HHMMSS,EA-BFOK01-YYMMDD-HHMMSS,545,6.53
,B06,BF12_AU_OK01,OK01,BF12_AU_O01,AU-BFO01-YYMMDD-HHMMSS,AU-BFOK01-YYMMDD-HHMMSS,2376,43.5
,B16,XA06_HA_PM02,M2,BS06_HA_02a,HA-BS02a-YYMMDD-HHMMSS,HA-XAPM02-YYMMDD-HHMMSS,20300,44.6
,B11,XA06_HA_PM04,M4,BS06_HA_04a,HA-BS04a-YYMMDD-HHMMSS,HA-XAPM04-YYMMDD-HHMMSS,20300,44.6
,B12,XA06_HA_PM05,M5,BS06_HA_05a,HA-BS05a-YYMMDD-HHMMSS,HA-XAPM05-YYMMDD-HHMMSS,20300,44.6
,B03,XA07_HA_PM02-b,M2,BS07_HA_02b,HA-BS02b-YYMMDD-HHMMSS,HA-XAPM02_b-YYMMDD-HHMMSS,19050,41.8
,B13,XA07_HA_PM04,M4,BS07_HA_04b,HA-BS04b-YYMMDD-HHMMSS,HA-XAPM04-YYMMDD-HHMMSS,43634,95.8
,B11,BS08_AU_PM05,M5,BS08_AU_05b,AU-BS05b-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,11703,96.4
,B06,BS08_AU_PM08,M8,BS08_AU_08b,AU-BS08b-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,13156,108
,B13,BS08_HA_PM04,M4,BS08_HA_04a,HA-BS04a-YYMMDD-HHMMSS,HA-BSPM04-YYMMDD-HHMMSS,59301,130
,B13,BS09_AU_PM02-a,M2,BS09_AU_02a,AU-BS02a-YYMMDD-HHMMSS,AU-BSPM02_a-YYMMDD-HHMMSS,22861,223
,B01,BS09_AU_PM02-b,M2,BS09_AU_02b,AU-BS02b-YYMMDD-HHMMSS,AU-BSPM02_b-YYMMDD-HHMMSS,20562,163
,B13,BS09_AU_PM04,M4,BS09_AU_04a,AU-BS04a-YYMMDD-HHMMSS,AU-BSPM04-YYMMDD-HHMMSS,23771,195
,B13,BS09_AU_PM05,M5,BS09_AU_05a,AU-BS05a-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,21670,178
,B13,BS09_AU_PM08,M8,BS09_AU_08a,AU-BS08a-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,15764,129
,B13,BS10_AU_PM02-a,M2,BS10_AU_02a,AU-BS02a-YYMMDD-HHMMSS,AU-BSPM02_a-YYMMDD-HHMMSS,126,1.11
,B04,BS10_AU_PM02-b,M2,BS10_AU_02b,AU-BS02b-YYMMDD-HHMMSS,AU-BSPM02_b-YYMMDD-HHMMSS,21730,179
,B06,BS10_AU_PM04,M4,BS10_AU_04b,AU-BS04b-YYMMDD-HHMMSS,AU-BSPM04-YYMMDD-HHMMSS,18065,132
,B05,BS10_AU_PM05,M5,BS10_AU_05b,AU-BS05b-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,17935,131
,B05,BS10_AU_PM08,M8,BS10_AU_08a,AU-BS08a-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,8215,60.1
,B06,BS11_AU_PM02-a,M2,BS11_AU_02a,AU-BS02a-YYMMDD-HHMMSS,AU-BSPM02_a-YYMMDD-HHMMSS,19070,174
,B07,BS11_AU_PM04,M4,BS11_AU_04b,AU-BS04b-YYMMDD-HHMMSS,AU-BSPM04-YYMMDD-HHMMSS,21336,117
,B06,BS11_AU_PM05,M5,BS11_AU_05a,AU-BS05a-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,20682,113
,B06,BS11_AU_PM08,M8,BS11_AU_08a,AU-BS08a-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,18234,100
,B07,BS12_AU_PM02-a,M2,BS12_AU_02a,AU-BS02a-YYMMDD-HHMMSS,AU-BSPM02_a-YYMMDD-HHMMSS,17472,159
,B07,BS12_AU_PM02-b,M2,BS12_AU_02b,AU-BS02b-YYMMDD-HHMMSS,AU-BSPM02_b-YYMMDD-HHMMSS,16856,297
,B10,BS12_AU_PM04,M4,BS12_AU_04b,AU-BS04b-YYMMDD-HHMMSS,AU-BSPM04-YYMMDD-HHMMSS,17226,297
,B09,BS12_AU_PM05,M5,BS12_AU_05b,AU-BS05a-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,16146,279
,B09,BS12_AU_PM05,M5,BS12_AU_05a,AU-BS05a-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,16146,279
,B09,BS12_AU_PM08,M8,BS12_AU_08a,AU-BS08a-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,16038,277
,B09,BS13_AU_PM02-a,M2,BS13_AU_02a,AU-BS02a-YYMMDD-HHMMSS,AU-BSPM02_a-YYMMDD-HHMMSS,6972,127
,B12,BS13_AU_PM04,M4,BS13_AU_04b,AU-BS04b-YYMMDD-HHMMSS,AU-BSPM04-YYMMDD-HHMMSS,15168,277
,B12,BS13_AU_PM05,M5,BS13_AU_05b,AU-BS05b-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,16240,297
,B12,BS13_AU_PM05,M5,BS13_AU_05a,AU-BS05b-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,16240,297
,B14,BS13_AU_PM08,M8,BS13_AU_08b,AU-BS08b-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,16208,296
,B14,BS13_AU_PM08,M8,BS13_AU_08a,AU-BS08a-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,16208,296
